RunNumber,Turbine,m,YawBrMyp,YawBrMzp
39,1,10,5854,5875
39,2,8,5178,5241
39,2,9,5521,5548
39,2,10,5836,5823
40,1,8,2752,2835
40,1,9,2930,3029
40,1,10,3092,3208
40,2,8,2267,2409
40,2,9,2400,2560
40,2,10,2519,2698
41,1,8,4746,4085
41,1,9,5110,4354
41,1,10,5436,4600
41,2,8,4274,3968
41,2,9,4552,4222
41,2,10,4803,4460
42,1,8,3418,3831
42,1,9,3649,4093
42,1,10,3861,4333
42,2,8,2531,2892
42,2,9,2692,3097
42,2,10,2840,3285
43,1,8,3930,4268
43,1,9,4187,4549
43,1,10,4419,4799
43,2,8,4289,4424
43,2,9,4604,4711
43,2,10,4891,4964
44,1,8,3156,3572
44,1,9,3312,3777
44,1,10,3456,3968
44,2,8,2427,2867
44,2,9,2543,3044
44,2,10,2648,3210
45,1,8,3315,3380
45,1,9,3548,3591
45,1,10,3760,3783
45,2,8,2801,2800
45,2,9,3016,2973
45,2,10,3212,3131
46,1,8,2062,1892
46,1,9,2180,1994
46,1,10,2292,2088
46,2,8,1700,1537
46,2,9,1802,1627
46,2,10,1898,1710
47,1,8,5131,5476
47,1,9,5497,5869
47,1,10,5835,6221
47,2,8,4871,5383
47,2,9,5198,5773
47,2,10,5501,6123
48,1,8,4408,4808
48,1,9,4692,5082
48,1,10,4954,5341
48,2,8,3337,3575
48,2,9,3533,3776
48,2,10,3715,3963
49,1,8,4968,4968
49,1,9,5321,5252
49,1,10,5643,5509
49,2,8,4591,4296
49,2,9,4928,4522
49,2,10,5236,4731
50,1,8,2341,2238
50,1,9,2485,2364
50,1,10,2623,2481
50,2,8,1917,1794
50,2,9,2048,1911
50,2,10,2173,2019
51,1,8,5001,5188
51,1,9,5299,5511
51,1,10,5565,5805
51,2,8,4872,5167
51,2,9,5160,5482
51,2,10,5418,5768
52,1,8,3650,3296
52,1,9,3909,3466
52,1,10,4145,3626
52,2,8,2588,2532
52,2,9,2745,2668
52,2,10,2889,2796
53,1,8,5226,5638
53,1,9,5546,6016
53,1,10,5843,6364
53,2,8,4342,4707
53,2,9,4595,4997
53,2,10,4827,5256
54,1,8,2100,2087
54,1,9,2224,2198
54,1,10,2340,2300
54,2,8,1782,1724
54,2,9,1891,1818
54,2,10,1991,1904
55,1,8,5406,6014
55,1,9,5777,6444
55,1,10,6119,6830
55,2,8,5377,6234
55,2,9,5721,6676
55,2,10,6037,7074
56,1,8,2667,2550
56,1,9,2823,2670
56,1,10,2969,2780
56,2,8,2246,2187
56,2,9,2386,2309
56,2,10,2514,2422
57,1,8,4273,4821
57,1,9,4513,5150
57,1,10,4729,5451
57,2,8,4911,4969
57,2,9,5247,5277
57,2,10,5560,5557
58,1,8,2283,2043
58,1,9,2460,2169
58,1,10,2619,2287
58,2,8,1781,1686
58,2,9,1911,1803
58,2,10,2029,1912
59,1,8,5773,5875
59,1,9,6146,6246
59,1,10,6484,6593
59,2,8,5463,5383
59,2,9,5809,5701
59,2,10,6121,5995
60,1,8,3730,4248
60,1,9,3969,4530
60,1,10,4193,4789
60,2,8,2971,3235
60,2,9,3159,3449
60,2,10,3335,3644
61,1,8,4283,4360
61,1,9,4546,4677
61,1,10,4788,4968
61,2,8,3396,3345
61,2,9,3616,3542
61,2,10,3819,3719
62,1,8,1939,2148
62,1,9,2043,2281
62,1,10,2141,2403
62,2,8,1814,1862
62,2,9,1914,1982
62,2,10,2009,2092
63,1,8,5263,5782
63,1,9,5606,6137
63,1,10,5915,6451
63,2,8,5149,5628
63,2,9,5485,5983
63,2,10,5791,6299
64,1,8,3601,3607
64,1,9,3821,3824
64,1,10,4026,4024
64,2,8,2657,2881
64,2,9,2797,3075
64,2,10,2928,3251
65,1,8,4953,4865
65,1,9,5318,5181
65,1,10,5644,5474
65,2,8,4195,4636
65,2,9,4453,4970
65,2,10,4691,5280
66,1,8,2512,2514
66,1,9,2669,2653
66,1,10,2816,2785
66,2,8,1932,2068
66,2,9,2045,2189
66,2,10,2148,2301
67,1,8,4975,4670
67,1,9,5343,4930
67,1,10,5673,5167
67,2,8,4893,5111
67,2,9,5242,5430
67,2,10,5561,5721
68,1,8,3102,3070
68,1,9,3292,3241
68,1,10,3470,3402
68,2,8,2394,2389
68,2,9,2539,2520
68,2,10,2674,2641
69,1,8,5101,4842
69,1,9,5462,5149
69,1,10,5794,5432
69,2,8,4504,4039
69,2,9,4843,4312
69,2,10,5152,4567
70,1,8,1120,1128
70,1,9,1173,1194
70,1,10,1223,1257
70,2,8,933.1,914.8
70,2,9,973.2,967.7
70,2,10,1010,1018
71,1,8,6582,7298
71,1,9,7016,7829
71,1,10,7406,8309
71,2,8,5929,6756
71,2,9,6294,7227
71,2,10,6618,7650
72,1,8,3764,3959
72,1,9,3942,4195
72,1,10,4105,4415
72,2,8,3116,2998
72,2,9,3290,3163
72,2,10,3450,3314
73,1,8,4453,4543
73,1,9,4723,4791
73,1,10,4973,5011
73,2,8,4557,5109
73,2,9,4788,5386
73,2,10,5000,5634
74,1,8,3549,3833
74,1,9,3725,4062
74,1,10,3892,4276
74,2,8,3233,3415
74,2,9,3396,3613
74,2,10,3547,3795
75,1,8,4528,4813
75,1,9,4767,5067
75,1,10,4983,5295
75,2,8,4466,4520
75,2,9,4719,4776
75,2,10,4950,5008
76,1,8,3432,3513
76,1,9,3655,3755
76,1,10,3860,3979
76,2,8,2648,2746
76,2,9,2806,2924
76,2,10,2950,3088
77,1,8,3466,3858
77,1,9,3675,4124
77,1,10,3866,4369
77,2,8,2958,2996
77,2,9,3134,3191
77,2,10,3297,3369
78,1,8,2067,2002
78,1,9,2211,2118
78,1,10,2344,2223
78,2,8,1803,1778
78,2,9,1915,1877
78,2,10,2018,1966
79,1,8,5410,5252
79,1,9,5715,5544
79,1,10,5991,5811
79,2,8,5242,5143
79,2,9,5556,5439
79,2,10,5838,5709
80,1,8,4244,4712
80,1,9,4458,5011
80,1,10,4659,5291
80,2,8,3441,3850
80,2,9,3620,4125
80,2,10,3785,4381
81,1,8,5793,6275
81,1,9,6081,6639
81,1,10,6339,6976
81,2,8,4691,5037
81,2,9,4920,5300
81,2,10,5129,5541
82,1,8,2464,2454
82,1,9,2646,2605
82,1,10,2814,2742
82,2,8,1919,1856
82,2,9,2057,1979
82,2,10,2183,2091
83,1,8,4589,4532
83,1,9,4884,4839
83,1,10,5151,5122
83,2,8,4796,4685
83,2,9,5085,4979
83,2,10,5348,5252
84,1,8,2487,2472
84,1,9,2628,2617
84,1,10,2761,2754
84,2,8,1862,1934
84,2,9,1962,2053
84,2,10,2058,2163
85,1,8,3879,4123
85,1,9,4110,4390
85,1,10,4319,4638
85,2,8,3545,4064
85,2,9,3764,4368
85,2,10,3965,4648
86,1,8,1562,1620
86,1,9,1651,1708
86,1,10,1735,1791
86,2,8,1306,1260
86,2,9,1382,1330
86,2,10,1453,1394
87,1,8,6565,6685
87,1,9,6997,7073
87,1,10,7385,7418
87,2,8,6425,6662
87,2,9,6863,7073
87,2,10,7255,7436
88,1,8,3113,3466
88,1,9,3271,3700
88,1,10,3420,3916
88,2,8,2540,2733
88,2,9,2674,2907
88,2,10,2801,3066
89,1,8,4486,4353
89,1,9,4799,4615
89,1,10,5081,4852
89,2,8,4327,4420
89,2,9,4595,4669
89,2,10,4840,4899
90,1,8,3391,3273
90,1,9,3615,3440
90,1,10,3820,3596
90,2,8,3030,2977
90,2,9,3215,3132
90,2,10,3384,3274
91,1,8,5401,5010
91,1,9,5742,5299
91,1,10,6045,5562
91,2,8,5267,4756
91,2,9,5592,5026
91,2,10,5882,5272
92,1,8,3462,3316
92,1,9,3670,3503
92,1,10,3864,3677
92,2,8,2962,2675
92,2,9,3168,2835
92,2,10,3357,2984
93,1,8,3388,3822
