RunNumber,Turbine,m,TwrBsMxt,TwrBsMyt,TwHt1MLxt,TwHt1MLyt,TwHt2MLxt,TwHt2MLyt,TwHt3MLxt,TwHt3MLyt,TwHt4MLxt,TwHt4MLyt,TwHt5MLxt,TwHt5MLyt,TwHt6MLxt,TwHt6MLyt
1,1,3,4826,10760,4393,9681,3556,7647,2595,5583,1780,4011,957,2780,454.1,2439
1,1,4,5551,13690,5059,12410,4106,9956,3000,7342,2057,5201,1114,3417,560.9,2806
1,2,3,2460,9708,2228,8755,1774,6979,1310,5046,965.3,3540,656.3,2466,519.4,2394
1,2,4,2913,12810,2653,11700,2141,9532,1601,6962,1196,4746,876.8,3015,748.5,2713
2,1,3,2295,13750,2103,12600,1722,10290,1268,7523,854.2,4941,471.6,2665,273.7,1756
2,1,4,2689,16840,2469,15480,2029,12710,1499,9321,1018,6119,591.8,3264,392.5,2030
2,2,3,3067,15930,2821,14670,2331,12190,1707,8976,1116,5923,550.9,3031,197.4,1439
2,2,4,3600,19570,3311,18070,2738,15080,2006,11130,1312,7336,654.7,3716,262,1641
3,1,3,4392,14310,3938,12880,3051,10360,2207,7516,1638,5296,987.7,3445,568.7,2846
3,1,4,5105,18740,4600,16950,3606,13760,2614,10040,1910,6991,1132,4356,642.8,3320
3,2,3,5884,15160,5346,13730,4303,10950,3137,8012,2189,5792,1214,3750,619.3,2993
3,2,4,6827,19330,6212,17610,5021,14200,3666,10440,2545,7470,1407,4653,734.7,3436
4,1,3,2747,11210,2508,10190,2039,8149,1505,5864,1037,4020,609.7,2539,391.9,2226
4,1,4,3244,13830,2973,12640,2443,10230,1824,7440,1280,5037,810.8,3070,571.1,2528
4,2,3,4005,13290,3675,12150,3039,9956,2224,7258,1458,4814,735,2617,303.9,1734
4,2,4,4647,16030,4268,14670,3534,12100,2592,8838,1700,5835,872,3128,424.2,1969
5,1,3,3024,11560,2723,10290,2147,8013,1568,5726,1156,4267,744.9,3116,545.6,2846
5,1,4,3581,14700,3246,13240,2593,10570,1913,7631,1405,5525,923.7,3746,717.3,3195
5,2,3,4113,12330,3766,11190,3095,8999,2270,6545,1543,4532,847.9,2873,466.8,2396
5,2,4,4664,15560,4275,14210,3521,11590,2594,8477,1775,5852,1020,3557,656.5,2730
6,1,3,1870,11170,1721,10230,1417,8396,1033,6115,674.8,4018,333.7,2077,133.3,1104
6,1,4,2229,13080,2053,12000,1693,9866,1235,7181,805.5,4706,399.6,2410,169.9,1220
6,2,3,3296,13160,3039,12120,2522,10030,1850,7370,1198,4808,577.4,2440,160.2,1053
6,2,4,3780,15550,3485,14330,2893,11870,2121,8724,1373,5677,661.6,2858,184.3,1180
7,1,3,9948,16480,8993,14880,7170,11820,5225,8607,3690,6205,2039,4122,964.4,3456
7,1,4,11420,20520,10350,18630,8286,14920,6042,10910,4234,7746,2318,4949,1070,3955
7,2,3,9577,16320,8716,14780,6977,11790,5085,8516,3539,6040,1922,4018,873.2,3354
7,2,4,11030,20600,10050,18750,8072,15090,5887,10930,4076,7628,2199,4892,982.7,3854
8,1,3,2480,8919,2265,8121,1842,6492,1362,4751,959.7,3294,593.8,2096,418.1,1845
8,1,4,2941,11940,2692,10950,2209,8919,1659,6612,1217,4554,843.1,2708,658.7,2100
8,2,3,2724,11010,2513,10070,2071,8292,1519,6030,1010,3984,540.2,2159,299.2,1454
8,2,4,3283,13380,3033,12280,2507,10190,1845,7472,1234,4940,696.7,2664,453.4,1665
9,1,3,4896,13430,4436,12050,3533,9525,2587,6961,1818,5198,1016,3605,544,2961
9,1,4,5680,17080,5158,15430,4128,12390,3030,9149,2116,6769,1176,4545,652.9,3481
9,2,3,4046,12910,3662,11540,2895,9063,2121,6642,1529,4978,926.1,3510,586.3,2994
9,2,4,4742,16120,4311,14550,3436,11670,2532,8705,1817,6375,1111,4245,741.5,3399
10,1,3,2545,9825,2324,8931,1893,7174,1392,5193,950.4,3533,560.3,2152,374.8,1847
10,1,4,2969,12490,2719,11410,2228,9259,1652,6758,1148,4543,741.1,2604,569.1,2050
10,2,3,2279,13460,2086,12360,1718,10180,1254,7488,829.3,4971,434.6,2631,241.1,1530
10,2,4,2756,16420,2526,15130,2089,12550,1527,9266,1007,6132,538.7,3182,353.7,1707
11,1,3,6741,14100,6136,12740,4941,10060,3635,7187,2514,4997,1350,3352,597.4,2807
11,1,4,7937,18480,7249,16750,5878,13290,4329,9525,2964,6476,1570,4124,686.6,3203
11,2,3,5541,15350,5011,13770,4004,10960,2929,7911,2065,5655,1153,3613,635.7,2919
11,2,4,6528,20030,5922,18030,4767,14500,3499,10510,2442,7428,1348,4503,768.4,3340
12,1,3,1959,7626,1780,6930,1436,5511,1054,3970,742,2722,445,1846,300.1,1757
12,1,4,2292,9637,2089,8831,1697,7166,1256,5206,898.5,3505,579.5,2271,433.1,1979
12,2,3,1867,12090,1710,11080,1401,9147,1024,6664,685.8,4363,373,2257,218.6,1424
12,2,4,2194,15320,2013,14080,1655,11730,1216,8560,822.8,5557,469.6,2770,314.1,1608
13,1,3,3118,10300,2826,9287,2262,7349,1660,5423,1188,3935,727.9,2805,490.3,2447
13,1,4,3816,13430,3471,12270,2804,9977,2063,7499,1473,5351,921.8,3605,668.9,2816
13,2,3,3031,10660,2770,9693,2275,7789,1665,5647,1117,3894,603.5,2367,341.3,1917
13,2,4,3575,12940,3276,11830,2701,9579,1983,7005,1334,4827,748.2,2887,488.8,2205
14,1,3,3737,12030,3438,11050,2838,9017,2080,6561,1367,4334,686.2,2372,288.6,1825
14,1,4,4336,14610,3992,13470,3301,11070,2419,8083,1586,5316,802.7,2813,395.4,2059
14,2,3,3423,14630,3149,13440,2597,11070,1902,8119,1242,5339,615.8,2764,224.7,1636
14,2,4,3919,17330,3606,15950,2978,13180,2183,9680,1424,6364,712.4,3261,291,1857
15,1,3,6222,13730,5614,12450,4434,9972,3247,7324,2305,5291,1301,3460,671.7,2809
15,1,4,7269,18120,6574,16510,5219,13380,3834,9873,2701,7039,1501,4370,760.2,3216
15,2,3,5142,14790,4609,13430,3616,10740,2624,7817,1906,5585,1114,3591,618.9,2884
15,2,4,5964,19000,5368,17350,4248,13990,3086,10220,2210,7238,1271,4460,712,3325
16,1,3,2006,8172,1814,7337,1441,5794,1069,4187,796.5,3001,532.4,2074,403.2,1900
16,1,4,2345,11150,2132,10140,1720,8223,1308,6030,1007,4235,731.2,2682,594.8,2194
16,2,3,2503,9084,2290,8284,1880,6678,1383,4810,932.4,3266,509,1918,285.1,1526
16,2,4,2952,11140,2703,10190,2228,8294,1645,6007,1114,4064,636.5,2367,412.3,1769
17,1,3,4154,12250,3770,11010,3000,8740,2201,6382,1565,4650,905.7,3096,523.4,2582
17,1,4,4881,15880,4443,14370,3559,11610,2623,8553,1857,6124,1088,3842,676.5,2967
17,2,3,2736,11440,2460,10350,1963,8191,1449,5940,1091,4234,738.7,2831,539.5,2557
17,2,4,3216,14740,2921,13480,2373,10900,1795,7997,1376,5540,982.1,3441,750.7,2893
18,1,3,2168,10690,1988,9777,1629,7959,1191,5781,788.9,3864,416.2,2196,237.1,1595
18,1,4,2634,12620,2418,11570,1989,9465,1454,6889,960.9,4580,516.1,2567,337.2,1772
18,2,3,2003,13950,1838,12820,1511,10580,1106,7737,732.3,5097,369.7,2663,157.5,1351
18,2,4,2326,16440,2134,15130,1757,12500,1288,9150,854.3,6013,435.6,3114,209.6,1508
19,1,3,4679,13680,4225,12330,3371,9805,2467,7162,1744,5124,991.6,3426,535.5,2849
19,1,4,5595,17340,5066,15710,4074,12700,2989,9358,2096,6580,1183,4201,651.7,3250
19,2,3,4448,12930,4055,11630,3274,9187,2398,6685,1673,4822,954.4,3312,573.8,2876
19,2,4,5427,16370,4967,14860,4037,11900,2966,8727,2053,6203,1175,4056,752.9,3273
20,1,3,2247,9073,2055,8277,1683,6714,1227,4883,828.6,3294,464.9,1940,289,1611
20,1,4,2677,11010,2454,10070,2021,8264,1481,6075,1004,4104,591.2,2379,419.5,1828
20,2,3,2846,14790,2617,13640,2165,11320,1587,8336,1039,5482,519,2813,217.2,1402
20,2,4,3310,17920,3047,16540,2524,13790,1852,10160,1213,6666,611.4,3394,299.8,1595
21,1,3,3674,11720,3318,10600,2631,8463,1917,6217,1397,4441,844.5,2983,525.3,2551
21,1,4,4255,15240,3855,13910,3079,11290,2255,8352,1636,5847,1004,3677,658,2882
21,2,3,2491,10460,2263,9419,1818,7551,1332,5524,948.8,3898,577.3,2635,395.5,2403
21,2,4,2926,13280,2670,12050,2163,9832,1604,7291,1160,5070,748.6,3219,554.8,2707
22,1,3,1860,10660,1706,9771,1406,8017,1027,5842,676.6,3857,340.3,2033,140.8,1170
22,1,4,2163,12450,1985,11420,1638,9395,1197,6850,788.3,4501,400.1,2341,184.7,1281
22,2,3,1745,10400,1607,9577,1325,7920,972.6,5809,631.7,3823,305.6,1963,98.91,925.6
22,2,4,2087,12330,1924,11370,1587,9415,1165,6900,754.8,4526,364.1,2308,121.7,1030
23,1,3,9753,14260,8824,12800,7036,10110,5137,7301,3612,5268,1973,3622,914.4,3169
23,1,4,11480,17230,10410,15560,8338,12450,6095,9056,4246,6461,2276,4267,999.2,3549
23,2,3,9649,15150,8746,13670,6980,10870,5110,7906,3575,5679,1945,3885,926.2,3316
23,2,4,11190,18460,10160,16760,8149,13510,5965,9923,4139,7075,2216,4680,1012,3743
24,1,3,2343,8979,2110,8070,1667,6233,1221,4503,895.4,3295,581,2507,432.5,2470
24,1,4,2740,11570,2480,10550,1985,8386,1470,6179,1083,4343,730.8,2983,577.1,2784
24,2,3,2944,10810,2698,9853,2204,7986,1615,5809,1083,3908,584.7,2363,307.1,1951
24,2,4,3432,13220,3152,12110,2583,9910,1902,7257,1280,4827,712.6,2815,419.2,2195
25,1,3,4676,11950,4241,10710,3397,8374,2479,6077,1742,4482,972.1,3178,509.3,2885
25,1,4,5495,15340,4995,13880,4025,11060,2945,8118,2059,5849,1143,3867,624.2,3276
25,2,3,4090,11310,3698,10180,2969,8042,2169,5854,1532,4249,908.4,3130,582.4,2949
25,2,4,4752,14700,4311,13410,3487,10920,2568,8121,1825,5713,1120,3869,798.6,3349
26,1,3,2792,12740,2553,11620,2074,9447,1521,6855,1026,4611,557.5,2646,321.7,2000
26,1,4,3296,15350,3018,14050,2467,11510,1813,8392,1222,5601,679.5,3115,442.3,2239
26,2,3,3743,15030,3445,13760,2837,11300,2073,8225,1359,5449,678.5,2944,273.4,1832
26,2,4,4512,17950,4156,16470,3428,13570,2504,9901,1637,6543,814.8,3486,359.5,2077
27,1,3,5363,13590,4844,12310,3814,9771,2786,7142,1991,5170,1127,3568,590.6,2982
27,1,4,6134,17660,5558,16080,4401,12920,3220,9533,2278,6881,1273,4585,677.1,3461
27,2,3,3915,13840,3496,12500,2721,9944,1987,7307,1467,5232,886.7,3520,558.1,2942
27,2,4,4556,17750,4089,16110,3217,12950,2365,9568,1722,6790,1026,4370,661.6,3386
28,1,3,2587,8155,2365,7367,1920,5848,1408,4242,975,3012,574.6,2129,377,2017
28,1,4,3020,10890,2766,9916,2258,8027,1670,5885,1174,4137,757.4,2696,561.9,2310
28,2,3,2263,9587,2070,8731,1696,7108,1245,5218,832.4,3525,450,2029,254.7,1494
28,2,4,2644,11570,2420,10560,1988,8683,1466,6420,985.7,4376,560.7,2510,378.7,1718
29,1,3,4015,10980,3637,9746,2891,7554,2111,5411,1513,3999,893,2967,564.4,2806
29,1,4,4716,13700,4289,12280,3429,9768,2512,7110,1790,5077,1062,3491,710,3144
29,2,3,4062,13130,3726,11970,3051,9619,2235,6990,1486,4761,787,2867,406,2274
29,2,4,4744,15790,4356,14450,3582,11710,2625,8536,1743,5749,941,3382,544.5,2547
30,1,3,2154,8364,1983,7637,1641,6226,1204,4516,790.1,2995,402.3,1633,191.4,1143
30,1,4,2646,9813,2439,8965,2023,7344,1488,5340,976.5,3547,508.7,1925,290.4,1277
30,2,3,1376,8854,1261,8116,1039,6657,755.6,4846,495.9,3169,248.7,1634,120.4,929.9
30,2,4,1611,10410,1478,9548,1220,7849,888,5714,583.6,3727,301.9,1911,180.4,1030
31,1,3,5125,11430,4643,10330,3692,8162,2689,5921,1898,4341,1063,3142,519.6,2830
31,1,4,6001,14310,5454,12990,4367,10410,3190,7638,2228,5536,1230,3902,584.2,3310
31,2,3,4867,13560,4402,12250,3513,9822,2565,7121,1798,5069,994.9,3420,506.7,2917
31,2,4,5704,17610,5171,16010,4149,12950,3029,9431,2108,6646,1152,4336,575.4,3426
32,1,3,3776,11950,3432,10650,2757,8335,2031,5999,1453,4244,908.4,2939,653,2807
32,1,4,4381,15440,3998,13970,3239,11330,2411,8332,1751,5773,1161,3606,901.8,3143
32,2,3,3627,14080,3315,12840,2707,10440,1973,7605,1328,5098,717.3,2870,401.5,2151
32,2,4,4229,16940,3870,15500,3168,12730,2313,9365,1563,6273,869.6,3460,559.2,2424
33,1,3,3947,13870,3554,12470,2794,9923,2031,7188,1483,5153,903.1,3398,579.9,2840
33,1,4,4558,17740,4114,16070,3249,12980,2371,9489,1727,6681,1059,4147,705.9,3194
33,2,3,4073,12500,3699,11260,2975,8854,2170,6360,1523,4537,885.6,3047,545.2,2668
33,2,4,4830,15400,4399,13970,3555,11200,2602,8109,1823,5685,1083,3617,723,2992
34,1,3,1747,9740,1592,8856,1286,7132,939.4,5146,646.5,3412,377.7,1906,257.9,1468
34,1,4,2041,11480,1867,10470,1516,8499,1115,6165,775.5,4072,485.2,2225,380.3,1615
34,2,3,2166,13700,1985,12550,1628,10330,1196,7569,787.1,4961,398.8,2570,179.3,1314
34,2,4,2522,16010,2314,14680,1901,12100,1397,8865,919.4,5794,472.1,2977,250.1,1463
35,1,3,5560,13260,5049,11930,4040,9496,2946,6885,2055,4919,1130,3224,543.4,2623
35,1,4,6368,17300,5792,15650,4651,12570,3397,9156,2359,6434,1293,4003,634.7,2983
35,2,3,5259,13360,4798,12030,3884,9565,2854,6988,1953,5104,1087,3377,587,2757
35,2,4,6400,16770,5850,15210,4767,12250,3505,8998,2380,6451,1319,4060,725.3,3098
36,1,3,2109,9269,1924,8397,1548,6708,1125,4829,768.8,3329,438.4,2091,296.6,1846
36,1,4,2481,11030,2268,10010,1837,8079,1340,5845,914.6,4013,536.7,2442,400,2051
36,2,3,2672,13790,2460,12690,2020,10410,1473,7613,968.8,5027,486.4,2668,206.5,1578
36,2,4,3142,16230,2894,14970,2380,12310,1736,9008,1140,5931,574.1,3110,268.9,1778
37,1,3,2647,8880,2385,7947,1881,6168,1385,4442,1021,3326,650.6,2508,463.9,2376
37,1,4,3066,11350,2778,10280,2220,8169,1658,5973,1224,4376,807.5,3081,614.1,2673
37,2,3,3167,9184,2897,8306,2372,6680,1751,4855,1191,3399,653.3,2189,355.3,1910
37,2,4,3682,11650,3372,10600,2773,8667,2059,6382,1412,4465,807.9,2790,496.1,2207
38,1,3,2922,13750,2694,12640,2230,10410,1632,7594,1067,4927,520.4,2473,160.9,1180
38,1,4,3407,15950,3142,14680,2603,12110,1905,8844,1246,5728,609.1,2859,195.9,1309
38,2,3,2618,18190,2411,16750,1997,13910,1461,10190,949.6,6609,459.6,3261,132.8,1210
38,2,4,3196,21140,2944,19460,2440,16180,1784,11860,1159,7687,559.2,3777,156.5,1362
39,1,3,8551,14160,7755,12760,6174,10110,4512,7359,3180,5344,1741,3639,790.6,3112
39,1,4,9744,17620,8854,15940,7076,12770,5179,9335,3629,6688,1966,4359,873.8,3551
39,2,3,8934,14380,8110,13010,6499,10300,4763,7505,3308,5412,1785,3653,767.5,3099
39,2,4,10160,18250,9238,16580,7425,13280,5446,9732,3764,6893,2019,4426,858.1,3538
40,1,3,1845,6390,1671,5724,1338,4453,979.9,3160,690.6,2288,407,1681,269.3,1659
40,1,4,2153,7968,1955,7207,1576,5741,1159,4150,815.6,2920,491.8,1988,351.6,1869
40,2,3,3579,9602,3293,8738,2718,7090,1992,5146,1310,3453,654.9,1959,248.8,1443
40,2,4,4209,11260,3875,10270,3202,8379,2348,6092,1543,4072,774.5,2273,321.6,1617
41,1,3,3445,11170,3104,10040,2457,7974,1798,5816,1293,4250,756.6,2934,452.2,2546
41,1,4,4070,14090,3680,12750,2933,10300,2157,7599,1537,5494,898.2,3654,550,2970
41,2,3,3841,10510,3474,9419,2772,7379,2034,5381,1451,3914,848.1,2720,522.9,2504
41,2,4,4423,13540,4005,12250,3209,9788,2370,7233,1703,5186,1028,3383,699.4,2865
42,1,3,2729,11570,2493,10520,2025,8442,1478,6053,1008,4084,568.2,2437,336.6,2039
42,1,4,3170,13910,2901,12700,2369,10280,1735,7426,1189,4996,700.5,2925,467.9,2308
42,2,3,2478,13000,2268,11880,1862,9686,1367,7011,907.6,4606,473.9,2453,235.2,1580
42,2,4,2886,14960,2643,13700,2177,11210,1602,8125,1065,5331,567.2,2834,321.3,1778
43,1,3,5635,11130,5117,10080,4093,8128,2995,5952,2085,4274,1121,2830,496,2309
43,1,4,6468,14290,5883,13010,4721,10590,3456,7803,2396,5548,1282,3522,568.6,2659
43,2,3,4736,13530,4291,12310,3433,9916,2521,7254,1766,5124,979.6,3235,511,2457
43,2,4,5520,17530,5013,16020,4026,13010,2962,9564,2065,6713,1139,4110,602.2,2838
44,1,3,2296,10450,2090,9435,1678,7504,1233,5401,875.7,3697,534.3,2353,361.3,2103
44,1,4,2710,12670,2481,11510,2011,9285,1497,6725,1073,4557,687.4,2777,507.2,2324
44,2,3,3167,15110,2911,13850,2397,11330,1756,8272,1160,5451,596.4,2886,271.8,1693
44,2,4,3671,18070,3376,16590,2785,13610,2045,9934,1351,6518,703.9,3399,360.6,1896
45,1,3,2700,9183,2440,8300,1951,6633,1454,4818,1085,3455,703.3,2368,512.2,1995
45,1,4,3245,12760,2950,11650,2397,9550,1832,7016,1406,4929,985.9,3153,780,2281
45,2,3,3604,10290,3311,9444,2723,7701,2002,5631,1337,3830,715.9,2248,389.7,1631
45,2,4,4147,12930,3813,11910,3145,9803,2321,7218,1564,4896,887.6,2833,583.2,1870
46,1,3,1998,8747,1832,7965,1505,6474,1098,4686,726.5,3082,380.3,1706,204.2,1357
46,1,4,2357,10360,2163,9468,1781,7730,1303,5611,864.5,3676,468.4,1985,294.4,1490
46,2,3,2246,10180,2065,9327,1710,7653,1253,5563,818.5,3634,405.6,1886,151.2,1119
46,2,4,2586,11910,2378,10920,1973,8981,1445,6536,944,4250,469,2181,195.8,1248
47,1,3,8428,13590,7663,12270,6180,9789,4525,7116,3123,5193,1648,3524,701.2,2963
47,1,4,10080,17050,9186,15500,7452,12500,5460,9152,3740,6602,1943,4323,795.2,3426
47,2,3,6709,14990,6068,13540,4843,10830,3530,7888,2476,5639,1355,3656,657.9,2927
47,2,4,7874,19600,7136,17770,5718,14270,4170,10470,2905,7368,1565,4568,746.6,3364
48,1,3,2900,11360,2605,10140,2031,7936,1496,5766,1131,4147,763.3,2949,576.5,2689
48,1,4,3383,15020,3053,13610,2409,11000,1798,8090,1365,5582,969.3,3607,779.6,3016
48,2,3,4070,13920,3736,12730,3072,10350,2251,7579,1502,5093,794.9,2863,426.4,2110
48,2,4,4720,17320,4334,15860,3575,12980,2624,9533,1749,6348,953.2,3436,604.1,2379
49,1,3,4316,12310,3915,11040,3125,8716,2291,6368,1612,4664,924.1,3255,553.3,2824
49,1,4,5085,15520,4627,14040,3720,11270,2734,8326,1903,6022,1083,4044,670,3272
49,2,3,3390,10660,3059,9613,2452,7552,1810,5518,1301,3956,787.9,2769,518,2628
49,2,4,4008,13830,3628,12630,2930,10160,2187,7508,1588,5263,1006,3366,717.2,2989
50,1,3,2801,10870,2572,9960,2124,8104,1550,5858,1023,3868,515.9,2105,220.7,1497
50,1,4,3251,12770,2988,11730,2469,9583,1806,6948,1193,4558,609.3,2431,301.1,1679
50,2,3,3358,13350,3092,12280,2567,10170,1883,7446,1225,4907,598.8,2549,184.5,1282
50,2,4,3891,15890,3583,14610,2975,12140,2183,8896,1420,5854,695,3022,224.5,1451
51,1,3,5519,14970,4984,13540,3957,10690,2899,7748,2049,5585,1149,3679,624.9,2978
51,1,4,6351,19220,5745,17460,4580,13910,3364,10160,2364,7238,1326,4577,755.6,3431
51,2,3,4327,13460,3895,12050,3086,9453,2275,6853,1655,5013,1001,3453,626.6,2961
51,2,4,5001,17050,4515,15400,3604,12280,2681,8962,1954,6371,1204,4154,785.7,3378
52,1,3,2729,11740,2492,10710,2042,8679,1501,6301,1021,4275,594.2,2581,388.5,2111
52,1,4,3199,14280,2928,13090,2415,10720,1789,7848,1233,5297,776.1,3150,577.3,2414
52,2,3,3416,15770,3136,14480,2598,11910,1905,8686,1252,5718,628.9,3010,267.8,1674
52,2,4,3925,18580,3603,17080,2990,14090,2194,10300,1444,6777,737.1,3551,370.5,1911
53,1,3,3934,12980,3540,11590,2792,9133,2052,6643,1512,4899,946.2,3481,640.7,3159
53,1,4,4558,16730,4121,15100,3282,12180,2428,8942,1776,6414,1116,4226,783.2,3599
53,2,3,2995,12710,2724,11500,2195,9251,1612,6789,1130,4758,697.6,3089,483.7,2643
53,2,4,3495,16070,3186,14690,2588,12010,1918,8899,1354,6161,893.4,3777,684,3002
54,1,3,2677,10670,2460,9732,2026,7928,1480,5738,975.4,3817,488.2,2072,189.4,1381
54,1,4,3115,12710,2864,11610,2362,9487,1726,6856,1135,4529,570.5,2423,245.4,1541
54,2,3,2741,12110,2522,11110,2086,9118,1525,6646,993.5,4361,484.9,2260,153,1189
54,2,4,3216,14180,2960,13020,2450,10710,1789,7804,1164,5094,567.3,2612,183.2,1338
55,1,3,8159,12980,7376,11740,5799,9259,4260,6750,3056,4876,1708,3432,836.7,3123
55,1,4,9352,16120,8485,14640,6715,11750,4940,8621,3502,6092,1920,4082,918.3,3595
55,2,3,7886,13720,7120,12410,5634,9846,4127,7154,2944,5220,1648,3621,803.5,3182
55,2,4,9229,17180,8365,15630,6663,12590,4885,9217,3444,6614,1889,4358,883.2,3649
56,1,3,1865,7647,1688,6921,1356,5473,998,3947,706.8,2702,423.1,1782,294.8,1683
56,1,4,2166,9701,1966,8852,1593,7138,1183,5214,845.8,3511,537.9,2177,421,1883
56,2,3,1848,10480,1693,9601,1378,7807,1004,5667,670,3731,362.7,2033,215.3,1409
56,2,4,2158,12410,1981,11390,1617,9300,1182,6750,792.4,4421,448,2388,304.6,1596
57,1,3,4530,13400,4112,12000,3285,9525,2398,6944,1684,4907,943.4,3177,519.7,2608
57,1,4,5215,17260,4744,15540,3809,12470,2784,9137,1943,6368,1079,3923,609.1,2970
57,2,3,3734,11490,3369,10250,2650,7996,1940,5770,1429,4281,895.1,3129,588.4,2845
57,2,4,4460,14430,4040,13030,3214,10430,2370,7623,1728,5511,1085,3798,735.2,3240
58,1,3,1911,7153,1750,6508,1434,5180,1055,3726,709.9,2502,383.4,1481,220.6,1306
58,1,4,2290,8762,2099,8010,1732,6444,1282,4675,868.4,3154,487.3,1831,319.3,1476
58,2,3,1955,10180,1799,9347,1490,7700,1092,5616,719.1,3664,363.2,1896,154.1,1100
58,2,4,2346,12400,2161,11410,1795,9435,1317,6890,867.4,4478,441.4,2295,208.6,1231
59,1,3,6566,17310,5886,15630,4605,12370,3358,8919,2461,6282,1439,4161,781.9,3343
59,1,4,7536,22630,6775,20470,5341,16310,3903,11770,2832,8166,1641,5171,890.8,3868
59,2,3,6235,18310,5631,16540,4463,13160,3270,9433,2325,6589,1321,4109,715.1,3155
59,2,4,7310,24120,6623,21860,5285,17470,3882,12540,2734,8644,1532,5173,835.8,3681
60,1,3,2091,10080,1879,9073,1485,7217,1073,5201,767.7,3689,497.5,2483,389.4,2338
60,1,4,2492,12850,2251,11660,1796,9481,1305,6918,932,4765,639,2918,546.6,2610
60,2,3,2978,13540,2726,12390,2239,10170,1638,7419,1097,4942,577.5,2738,295.7,1916
60,2,4,3474,16550,3181,15160,2619,12510,1922,9142,1293,6043,703.5,3249,414.3,2146
61,1,3,2386,10180,2143,9134,1676,7196,1247,5278,968.3,3964,676.5,2898,518,2686
61,1,4,2784,13220,2523,12050,2024,9734,1544,7266,1204,5335,872.5,3571,697,3030
61,2,3,2935,11830,2680,10800,2190,8773,1605,6422,1098,4414,620.7,2680,372.2,2095
61,2,4,3424,14410,3131,13250,2571,10910,1892,8090,1302,5553,773.6,3301,528.8,2380
62,1,3,3034,12540,2790,11510,2299,9407,1681,6850,1103,4504,547.5,2369,204.4,1373
62,1,4,3489,14740,3210,13550,2647,11110,1936,8100,1268,5304,631.8,2752,261.1,1525
62,2,3,3018,16130,2776,14830,2298,12270,1683,9022,1098,5919,536.4,3003,171.5,1342
62,2,4,3463,18670,3185,17160,2638,14220,1932,10450,1260,6851,615.5,3465,205.4,1520
63,1,3,7798,15050,7083,13630,5648,10920,4146,7979,2912,5652,1574,3694,706.3,3070
63,1,4,8939,20170,8136,18340,6513,14850,4790,10880,3345,7566,1792,4682,789.5,3551
63,2,3,8272,16280,7531,14750,6073,11820,4452,8656,3057,6168,1623,3918,706.5,3040
63,2,4,9778,21500,8927,19520,7236,15810,5314,11620,3614,8213,1899,5011,818.5,3512
64,1,3,2443,9012,2224,8158,1781,6454,1302,4730,918.4,3392,568.6,2435,409.5,2301
64,1,4,2870,11850,2619,10850,2112,8811,1554,6551,1104,4582,726.5,2987,580.1,2578
64,2,3,2951,12190,2707,11170,2221,9121,1632,6638,1099,4408,584.5,2481,295.4,1747
64,2,4,3458,14640,3175,13440,2614,11030,1930,8043,1307,5320,718.2,2947,408.1,1965
65,1,3,4827,14510,4360,13050,3471,10350,2554,7574,1824,5506,1067,3632,625.8,2746
65,1,4,5752,18510,5207,16760,4167,13460,3077,9935,2180,7129,1261,4561,740.9,3210
65,2,3,3226,11940,2913,10670,2304,8303,1696,5979,1235,4352,762.7,2972,526.7,2594
65,2,4,3820,15350,3458,13810,2759,10940,2048,7938,1496,5667,945.7,3651,700,2924
66,1,3,2115,9088,1936,8288,1583,6744,1157,4923,789.4,3325,445.1,1993,261.1,1585
66,1,4,2489,10920,2282,9998,1874,8206,1376,6020,947.8,4059,563.9,2400,371.9,1788
66,2,3,2516,11350,2310,10400,1912,8577,1398,6283,917.7,4179,456.4,2248,179.2,1284
66,2,4,2913,13420,2676,12310,2218,10180,1622,7475,1065,4967,532,2658,233.1,1445
67,1,3,4492,13660,4066,12390,3246,9992,2381,7314,1676,5198,937.9,3409,506.3,2735
67,1,4,5436,17590,4942,16040,3982,13050,2931,9599,2031,6756,1109,4283,596,3198
67,2,3,5779,13420,5267,12080,4279,9641,3131,7055,2137,5134,1169,3435,608.7,2828
67,2,4,6761,16860,6177,15300,5037,12390,3692,9132,2512,6533,1384,4185,755.3,3259
68,1,3,2673,8418,2440,7650,1983,6101,1452,4381,987.8,3035,552.5,2021,324.7,1918
68,1,4,3055,10510,2794,9640,2279,7808,1676,5678,1147,3880,670.5,2426,457.3,2139
68,2,3,2509,10630,2303,9695,1892,7923,1387,5750,911.8,3831,467.1,2135,228.5,1532
68,2,4,2910,12430,2674,11360,2201,9319,1616,6784,1063,4514,554.8,2490,321.1,1711
69,1,3,4724,12140,4298,10900,3448,8592,2523,6301,1767,4667,1006,3273,576.6,2924
69,1,4,5534,15120,5044,13690,4068,11000,2991,8157,2090,5923,1203,3918,737.4,3339
69,2,3,3650,11510,3337,10450,2717,8385,1993,6118,1349,4315,734.5,2816,397.2,2426
69,2,4,4236,14020,3880,12800,3170,10420,2336,7659,1587,5340,887.7,3415,529.5,2806
70,1,3,1576,7474,1450,6846,1196,5601,878.4,4099,575,2709,285.2,1431,109.1,860.1
70,1,4,1825,8760,1679,8033,1387,6586,1019,4820,665.8,3176,331.5,1655,147.3,915.8
70,2,3,1501,7094,1382,6509,1145,5343,839.4,3918,545.7,2580,265.8,1348,87.95,722.6
