RunNumber,Turbine,m,TwrBsMxt,TwrBsMyt,TwHt1MLxt,TwHt1MLyt,TwHt2MLxt,TwHt2MLyt,TwHt3MLxt,TwHt3MLyt,TwHt4MLxt,TwHt4MLyt,TwHt5MLxt,TwHt5MLyt,TwHt6MLxt,TwHt6MLyt
1641,2,4,6242,17170,5689,15470,4602,12340,3385,9193,2350,6764,1309,4491,688.1,3466
1642,1,3,2489,11280,2276,10240,1840,8283,1345,5941,914,4001,517.2,2338,341.5,1925
1642,1,4,2876,13570,2634,12380,2137,10060,1568,7262,1071,4882,637,2759,479.7,2153
1642,2,3,2705,10770,2479,9807,2033,7963,1486,5732,992.8,3841,527.5,2167,295.8,1657
1642,2,4,3126,12870,2867,11740,2357,9606,1728,6937,1157,4636,634.8,2561,412.4,1849
1643,1,3,4030,11390,3629,10340,2857,8294,2093,6026,1493,4265,843.5,2806,430.2,2370
1643,1,4,4710,15530,4259,14130,3380,11440,2484,8327,1749,5820,970.1,3590,497.2,2697
1643,2,3,3080,10410,2773,9470,2177,7610,1586,5566,1151,3905,662.1,2543,368.5,2088
1643,2,4,3551,13810,3212,12600,2544,10220,1860,7507,1332,5227,756.3,3242,441.2,2386
1644,1,3,2357,9710,2144,8788,1732,6953,1268,4995,900.2,3493,564.7,2320,407.5,2063
1644,1,4,2741,12490,2500,11410,2037,9176,1514,6673,1100,4615,750.9,2914,589.3,2323
1644,2,3,2515,9404,2300,8508,1876,6802,1372,4902,930.5,3370,521.1,2102,341,1762
1644,2,4,2988,11650,2735,10590,2239,8562,1638,6235,1113,4234,649.3,2549,496.5,1967
1645,1,3,3113,10940,2800,9694,2199,7506,1593,5372,1163,4020,730.7,3008,515,2889
1645,1,4,3585,13460,3237,12060,2559,9558,1866,6937,1368,5042,893.4,3522,683.1,3248
1645,2,3,2207,9675,1987,8675,1552,6676,1132,4783,838.9,3549,550,2554,416.9,2417
1645,2,4,2577,11920,2336,10780,1851,8473,1364,6119,1007,4462,685.9,3008,564.8,2711
1646,1,3,1965,9320,1805,8517,1484,6929,1089,5013,718.5,3283,362.7,1763,159.6,1227
1646,1,4,2273,10990,2089,10060,1719,8211,1261,5951,830.8,3897,421.3,2083,208.9,1382
1646,2,3,2074,8707,1909,7942,1578,6470,1155,4682,754,3073,374.4,1639,141.6,1087
1646,2,4,2508,10210,2311,9328,1915,7632,1403,5539,912.8,3635,453,1932,182.6,1214
1647,1,3,5522,16150,4928,14520,3785,11420,2761,8179,2087,5733,1262,3724,704.7,3133
1647,1,4,6335,21940,5698,19800,4440,15660,3255,11200,2396,7646,1410,4612,789.6,3602
1647,2,3,6338,16630,5703,14910,4503,11800,3302,8354,2362,5760,1342,3651,677.8,3020
1647,2,4,7569,23030,6849,20660,5488,16410,4036,11560,2810,7766,1548,4571,759.8,3471
1648,1,3,2147,9425,1916,8502,1493,6781,1088,4959,843.2,3503,588,2367,453.8,2218
1648,1,4,2493,12480,2245,11420,1784,9340,1326,6948,1039,4839,769.2,2945,644.3,2501
1648,2,3,2466,9494,2247,8605,1827,6961,1351,5101,951.3,3505,581.9,2227,403.7,1970
1648,2,4,2860,12420,2617,11400,2151,9398,1612,6992,1164,4730,780.7,2775,602.3,2230
1649,1,3,4994,10590,4540,9543,3650,7506,2677,5470,1851,4028,1030,2875,555,2594
1649,1,4,5767,13110,5252,11940,4242,9603,3120,7092,2149,5096,1200,3421,675.2,2957
1649,2,3,2341,9574,2101,8564,1643,6682,1218,4797,939.3,3557,649.5,2615,503.4,2459
1649,2,4,2770,11980,2509,10840,2011,8718,1513,6374,1164,4585,822,3145,653.2,2810
1650,1,3,2739,12800,2512,11740,2071,9605,1520,6961,1002,4576,508.1,2405,229.3,1531
1650,1,4,3196,15380,2935,14140,2425,11630,1784,8455,1175,5553,602.2,2875,305.3,1685
1650,2,3,2197,11810,2020,10810,1662,8857,1216,6421,801.2,4203,406.3,2203,186.3,1350
1650,2,4,2588,14100,2381,12910,1964,10630,1440,7714,948.5,5033,485.9,2598,249.1,1478
1651,1,3,4564,14350,4135,13010,3295,10480,2396,7671,1701,5398,954.9,3477,502.3,2752
1651,1,4,5262,19070,4776,17340,3820,14080,2781,10350,1966,7178,1099,4439,588.1,3184
1651,2,3,5122,15090,4656,13640,3756,11040,2758,8036,1917,5646,1063,3548,555.9,2725
