RunNumber,Turbine,m,RootMxb1,RootMyb1,Spn1MLxb1,Spn1MLyb1,Spn2MLxb1,Spn2MLyb1,Spn3MLxb1,Spn3MLyb1,Spn4MLxb1,Spn4MLyb1,Spn5MLxb1,Spn5MLyb1,Spn6MLxb1,Spn6MLyb1
1327,1,12,6722,6904,5215,6624,3117,4484,1426,2421,485.1,1048,77.8,215.5,1.203,3.981
1327,1,13,6805,7130,5285,6837,3161,4632,1447,2504,493,1086,79.47,223.3,1.232,4.121
1327,2,9,6320,6224,4952,6060,2931,4130,1329,2235,446.5,915.9,71.03,194.1,1.093,3.491
1327,2,10,6452,6573,5056,6396,2994,4363,1357,2358,457,965.5,73.08,204.5,1.128,3.672
1327,2,11,6564,6886,5146,6697,3049,4570,1382,2467,466.4,1009,74.97,213.8,1.16,3.832
1327,2,12,6664,7168,5226,6969,3097,4757,1403,2565,474.8,1048,76.73,222,1.19,3.974
1327,2,13,6752,7423,5297,7214,3140,4925,1423,2652,482.6,1083,78.37,229.3,1.218,4.101
1328,1,9,6161,3551,4894,3684,2893,2388,1310,1246,437.4,526.2,68.38,111.3,0.9959,1.975
1328,1,10,6301,3776,5005,3899,2961,2532,1342,1322,449.3,559.1,70.38,117.9,1.026,2.089
1328,1,11,6419,3980,5100,4092,3020,2661,1371,1391,459.8,588.5,72.17,123.8,1.052,2.192
1328,1,12,6521,4164,5182,4267,3071,2778,1396,1452,469.3,614.8,73.79,129.2,1.076,2.285
1328,1,13,6611,4331,5255,4424,3117,2883,1419,1507,478,638.4,75.28,134,1.098,2.369
1328,2,9,5923,2918,4728,2897,2766,1883,1232,997.8,402.9,418.8,61.26,89.61,0.8749,1.535
1328,2,10,6060,3106,4835,3053,2830,1991,1261,1057,412.7,443.1,62.86,94.42,0.8984,1.613
1328,2,11,6175,3277,4925,3195,2883,2089,1285,1111,421,465,64.24,98.8,0.9188,1.685
1328,2,12,6273,3431,5002,3324,2928,2177,1305,1159,428.2,484.7,65.45,102.8,0.9369,1.75
