Run,Turbine,Seed,meanU,Ti,alpha,HFlowAng,distBetweenWTG
529,2,1,11.2104912,19.6608791,0.227,0.578,8
530,1,1,6.3088045,23.2080002,0.055,-1.052,8
530,2,1,5.6546373,22.4931278,0.055,-1.052,8
531,1,1,14.672534,16.3999996,0.169,-0.285,8
531,2,1,13.6170273,16.6642685,0.169,-0.285,8
532,1,1,7.7815495,22.9880009,-0.152,-2.226,8
532,2,1,6.9518247,22.5226765,-0.152,-2.226,8
533,1,1,10.9427834,15.4820004,0.248,-1.114,8
533,2,1,9.4179096,17.3173428,0.248,-1.114,8
534,1,1,4.0618744,30.2779999,0.222,-3.516,8
534,2,1,3.7799878,31.3590279,0.222,-3.516,8
535,1,1,20.1853848,14.3669996,0.158,0.076,8
535,2,1,19.6992245,14.4107189,0.158,0.076,8
536,1,1,9.0405216,16.9360008,0.093,-0.243,8
536,2,1,7.7223673,18.4068871,0.093,-0.243,8
537,1,1,13.5479527,17.8859997,0.245,0.192,8
537,2,1,12.4666967,17.8655396,0.245,0.192,8
538,1,1,7.2375154,19.3869991,0.07,-1.672,8
538,2,1,6.290844,20.2140427,0.07,-1.672,8
539,1,1,15.0723801,16.2970009,0.189,-0.37,8
539,2,1,14.1434212,16.4286919,0.189,-0.37,8
540,1,1,8.0027056,24.8379993,0.164,-1.501,8
540,2,1,7.1845565,23.6977196,0.164,-1.501,8
541,1,1,10.2591782,17.6060009,0.126,-1.728,8
541,2,1,8.942996,18.6637592,0.126,-1.728,8
542,1,1,5.2570057,16.1609993,0.248,-3.797,8
542,2,1,4.5378585,17.7631397,0.248,-3.797,8
543,1,1,17.8804073,15.9619999,0.254,-1.227,8
543,2,1,17.2921371,15.7456284,0.254,-1.227,8
544,1,1,9.7566223,18.2870007,0.224,0.985,8
544,2,1,8.5216293,19.0536575,0.224,0.985,8
545,1,1,11.901144,19.2380009,0.001,-1.744,8
545,2,1,10.6271391,19.6520309,0.001,-1.744,8
546,1,1,5.7864871,26.9860001,0.21,1.259,8
546,2,1,5.2566471,29.8493252,0.21,1.259,8
547,1,1,13.929884,17.1149998,0.131,-0.59,8
547,2,1,12.9025373,17.1519279,0.131,-0.59,8
548,1,1,7.3336535,16.8889999,0.05,-4.686,8
548,2,1,6.410521,17.9649162,0.05,-4.686,8
549,1,1,11.5678329,16.9860001,0.163,-1.779,8
549,2,1,10.2470617,17.8155422,0.163,-1.779,8
550,1,1,4.6479864,19.0860004,0.146,0.439,8
550,2,1,4.0449562,20.0830765,0.146,0.439,8
551,1,1,22.5107937,13.9119997,0.129,-0.876,8
551,2,1,22.0939159,14.0654202,0.129,-0.876,8
552,1,1,8.8950424,19.3369999,0.221,2.084,8
552,2,1,7.7690682,20.1246204,0.221,2.084,8
553,1,1,12.481617,18.2999992,0.19,0.868,8
553,2,1,11.1611862,18.7539654,0.19,0.868,8
554,1,1,6.7274666,18.8430004,-0.045,2.221,8
554,2,1,5.8431339,19.8987503,-0.045,2.221,8
555,1,1,15.5005245,17.7770004,0.245,-0.096,8
555,2,1,14.6309624,17.4200459,0.245,-0.096,8
556,1,1,8.224843,22.9080009,0.072,0.235,8
556,2,1,7.365272,22.4223785,0.072,0.235,8
557,1,1,10.7857704,18.4890003,0.266,-1.278,8
557,2,1,9.3902359,19.2164173,0.266,-1.278,8
558,1,1,5.1983981,22.0450001,0.041,2.258,8
558,2,1,4.5863523,22.113348,0.041,2.258,8
559,1,1,16.3748989,16.3939991,0.149,-1.892,8
559,2,1,15.6646166,16.1868515,0.149,-1.892,8
560,1,1,9.7048206,20.1580009,0.025,-0.804,8
560,2,1,8.5152788,20.6850014,0.025,-0.804,8
561,1,1,12.0957441,18.2140007,0.147,-2.217,8
561,2,1,10.7501602,18.733942,0.147,-2.217,8
562,1,1,6.1983399,23.8269997,0.018,-4.404,8
562,2,1,5.6044068,22.7922497,0.018,-4.404,8
563,1,1,14.116744,17.9860001,0.236,-0.125,8
563,2,1,13.1148262,17.7642555,0.236,-0.125,8
564,1,1,7.5517378,17.3540001,0.181,-1.608,8
564,2,1,6.4736853,18.7442627,0.181,-1.608,8
565,1,1,10.8998976,19.3889999,0.034,-0.741,8
565,2,1,9.5206566,20.2622452,0.034,-0.741,8
566,1,1,4.5332999,26.1149998,-0.238,-7.955,8
566,2,1,4.221529,28.2054195,-0.238,-7.955,8
567,1,1,19.458128,15.8360004,0.119,0.499,8
567,2,1,18.9656162,15.5230942,0.119,0.499,8
568,1,1,9.27283,15.7410002,0.125,2.321,8
568,2,1,7.9147186,17.5149422,0.125,2.321,8
569,1,1,13.3746862,16.1590004,0.181,-0.04,8
569,2,1,12.0603123,16.8990784,0.181,-0.04,8
570,1,1,6.7542081,22.0160007,-0.041,-2.431,8
570,2,1,5.9743052,21.9512959,-0.041,-2.431,8
571,1,1,15.2814913,16.7399998,0.113,-2.07,8
571,2,1,14.4580574,16.5839062,0.113,-2.07,8
572,1,1,8.2478418,19.882,0.135,-0.865,8
572,2,1,7.1587005,20.6727695,0.135,-0.865,8
573,1,1,10.2113972,17.7970009,0.148,1.966,8
573,2,1,8.8648739,18.7874889,0.148,1.966,8
574,1,1,5.5809793,28.0170002,0.479,-4.638,8
574,2,1,5.1585503,29.8782749,0.479,-4.638,8
575,1,1,17.5687103,17.0189991,0.165,-1.071,8
575,2,1,16.9514122,16.4260941,0.165,-1.071,8
576,1,1,9.8830547,18.625,0.178,-1.899,8
576,2,1,8.6257877,19.3134022,0.178,-1.899,8
577,1,1,11.9986467,17.368,0.183,-1.649,8
577,2,1,10.5962467,18.1854515,0.183,-1.649,8
578,1,1,5.9068604,21.4330006,0.132,-3.139,8
578,2,1,5.2096968,21.6783028,0.132,-3.139,8
579,1,1,13.9422703,15.7220001,0.226,-0.52,8
579,2,1,12.7705355,16.3446255,0.226,-0.52,8
580,1,1,7.3823457,15.7150002,0.135,0.458,8
580,2,1,6.2793484,17.54282,0.135,0.458,8
581,1,1,11.2481918,17.1410007,0.3,-1.302,8
581,2,1,9.8165493,18.23036,0.3,-1.302,8
582,1,1,4.6429725,19.0709991,0.075,6.097,8
582,2,1,4.1873889,19.1008968,0.075,6.097,8
583,1,1,20.67873,14.9370003,0.241,-0.036,8
583,2,1,20.224247,14.8292761,0.241,-0.036,8
584,1,1,8.5454941,20.6700001,0.009,-0.574,8
584,2,1,7.453742,21.2777958,0.009,-0.574,8
585,1,1,13.040535,15.5129995,0.157,1.017,8
585,2,1,11.7528353,16.4341812,0.157,1.017,8
586,1,1,6.991219,22.9060001,-0.096,1.018,8
586,2,1,6.1963434,22.4809933,-0.096,1.018,8
587,1,1,16.4558659,15.8529997,0.176,-1.706,8
587,2,1,15.726141,15.7866354,0.176,-1.706,8
588,1,1,8.3717079,22.4899998,0.259,-0.197,8
588,2,1,7.3774014,22.5687103,0.259,-0.197,8
589,1,1,10.5271864,14.8000002,-0.013,1.325,8
589,2,1,9.0231018,16.7046299,-0.013,1.325,8
590,1,1,4.9628959,24.3570004,-0.199,-5.549,8
590,2,1,4.5453677,23.0230522,-0.199,-5.549,8
591,1,1,16.986208,16.9060001,0.183,0.378,8
591,2,1,16.3008766,16.327137,0.183,0.378,8
592,1,1,9.1937695,20.8689995,0.266,-1.813,8
592,2,1,8.069417,21.3884087,0.266,-1.813,8
593,1,1,12.2005653,16.9799995,0.309,-0.236,8
593,2,1,10.8256235,17.9446678,0.309,-0.236,8
594,1,1,6.3243475,22.7709999,0.264,-1.48,8
594,2,1,5.6216254,22.5046711,0.264,-1.48,8
595,1,1,14.502018,14.7950001,0.239,0.736,8
595,2,1,13.4500179,15.5177631,0.239,0.736,8
596,1,1,7.8983374,26.8770008,0.05,-0.936,8
596,2,1,7.2410192,29.528553,0.05,-0.936,8
597,1,1,10.9868031,18.2450008,0.169,-1.143,8
597,2,1,9.5838079,19.0991001,0.169,-1.143,8
598,1,1,4.1714773,36.105999,0.072,0.324,8
598,2,1,3.7481279,36.7354584,0.072,0.324,8
599,1,1,19.6323318,13.5319996,0.234,0.686,8
599,2,1,19.0390511,14.0515022,0.234,0.686,8
600,1,1,8.9177313,18.6630001,0.192,0.503,8
600,2,1,7.6839542,19.7110176,0.192,0.503,8
601,1,1,12.5718813,14.5120001,0.1,-0.22,11
601,2,1,11.5056505,15.4632196,0.1,-0.22,11
602,1,1,6.2767138,23.0510006,-0.046,-3.103,11
602,2,1,5.8733311,21.6543732,-0.046,-3.103,11
603,1,1,14.4836931,16.118,0.302,0.393,11
603,2,1,13.770937,16.1006794,0.302,0.393,11
604,1,1,7.7432098,24.9130001,0.144,-3.404,11
604,2,1,7.3464513,22.5933361,0.144,-3.404,11
605,1,1,11.1569853,17.3029995,0.151,-0.242,11
605,2,1,10.075429,17.7312241,0.151,-0.242,11
606,1,1,4.0374155,31.2980003,0.175,-0.28,11
606,2,1,3.8869779,31.0422077,0.175,-0.28,11
607,1,1,20.3177338,15.5550003,0.119,0.4,11
607,2,1,20.0238495,15.0203037,0.119,0.4,11
608,1,1,8.9976158,17.1240005,0.156,-0.649,11
608,2,1,8.2301722,17.3658905,0.156,-0.649,11
609,1,1,13.5802603,17.2770004,0.147,-1.529,11
609,2,1,12.8586216,16.8789406,0.147,-1.529,11
610,1,1,7.0984383,21.7350006,0.334,-3.777,11
610,2,1,6.6092958,20.6661282,0.334,-3.777,11
611,1,1,14.9545717,15.9460001,0.207,-0.738,11
611,2,1,14.3092489,15.8605394,0.207,-0.738,11
612,1,1,7.7990861,16.8260002,0.394,0.866,11
612,2,1,7.006916,17.6149654,0.394,0.866,11
613,1,1,10.2883348,17.5879993,0.066,0.954,11
613,2,1,9.3565111,17.8189259,0.066,0.954,11
614,1,1,5.3157787,30.0499992,-0.061,-0.317,11
614,2,1,5.1007848,30.3198776,-0.061,-0.317,11
615,1,1,18.5742874,13.1789999,0.105,-1.316,11
615,2,1,18.1168385,13.6025734,0.105,-1.316,11
616,1,1,9.8011665,15.7139997,0.104,-0.006,11
616,2,1,8.8692341,16.5508575,0.104,-0.006,11
617,1,1,11.8897676,15.2340002,0.116,-2.147,11
617,2,1,10.7951403,16.0506287,0.116,-2.147,11
618,1,1,5.7920966,23.1380005,0.078,-1.108,11
618,2,1,5.4025712,21.7370415,0.078,-1.108,11
619,1,1,13.7592182,16.8500004,0.166,0.524,11
619,2,1,12.9331131,16.7986717,0.166,0.524,11
620,1,1,7.2921925,20.2469997,0.229,-0.302,11
620,2,1,6.7201242,19.8022709,0.229,-0.302,11
621,1,1,11.5877523,14.8549995,0.055,-2.57,11
621,2,1,10.4630413,15.9192362,0.055,-2.57,11
622,1,1,4.6348891,22.4699993,-0.165,1.015,11
622,2,1,4.3015299,21.2538128,-0.165,1.015,11
623,1,1,21.9742832,12.7980003,0.135,-1.629,11
623,2,1,21.6800003,13.37321,0.135,-1.629,11
624,1,1,8.7060204,20.9500008,0.058,-2.104,11
624,2,1,8.0561762,20.3104477,0.058,-2.104,11
625,1,1,12.5550041,15.6809998,0.301,-1.75,11
625,2,1,11.589426,16.1233063,0.301,-1.75,11
626,1,1,6.867743,27.8339996,-0.158,-1.119,11
626,2,1,6.5623388,28.3876705,-0.158,-1.119,11
627,1,1,15.5398045,16.2140007,0.241,-0.387,11
627,2,1,15.0022726,15.8593092,0.241,-0.387,11
628,1,1,8.2987232,17.8439999,0.12,-0.923,11
628,2,1,7.5344167,18.0440388,0.12,-0.923,11
629,1,1,10.705368,19.3700008,0.076,-2.365,11
629,2,1,9.8881588,19.2564487,0.076,-2.365,11
630,1,1,5.2492886,23.6639996,-0.073,0.069,11
630,2,1,4.9645691,21.7713509,-0.073,0.069,11
631,1,1,16.3772106,13.7950001,0.086,1.331,11
631,2,1,15.7764816,14.2183933,0.086,1.331,11
632,1,1,9.6619587,21.3129997,0.068,1.446,11
632,2,1,8.9467812,20.4813213,0.068,1.446,11
633,1,1,12.1233406,16.3530006,0.136,-1.252,11
633,2,1,11.082365,16.8347988,0.136,-1.252,11
634,1,1,6.1522217,23.4659996,-0.107,-3.386,11
634,2,1,5.789505,21.7131557,-0.107,-3.386,11
635,1,1,14.3694334,15.6409998,0.165,-0.05,11
635,2,1,13.6293449,15.6842813,0.165,-0.05,11
636,1,1,7.5895405,17.9510002,0.247,-1.761,11
636,2,1,6.8741846,18.1250038,0.247,-1.761,11
637,1,1,11.1485176,16.3759995,0.231,-2.451,11
637,2,1,10.2507725,16.7357445,0.231,-2.451,11
638,1,1,4.2957211,25.4820004,0.153,-2.272,11
638,2,1,4.0670853,23.1477432,0.153,-2.272,11
639,1,1,18.959343,14.6379995,0.109,0.303,11
639,2,1,18.5991173,14.5214796,0.109,0.303,11
640,1,1,9.3740969,13.7799997,-0.016,0.243,11
640,2,1,8.2904234,15.4374895,-0.016,0.243,11
641,1,1,13.3109531,14.8970003,0.165,-0.254,11
641,2,1,12.3780012,15.5060625,0.165,-0.254,11
642,1,1,6.715456,24.2619991,0.037,1.682,11
642,2,1,6.2953682,22.5101795,0.037,1.682,11
643,1,1,15.2097149,13.618,0.106,0.524,11
643,2,1,14.4524508,14.3334684,0.106,0.524,11
644,1,1,8.1533785,19.6730003,0.091,-1.249,11
644,2,1,7.4540968,19.5258942,0.091,-1.249,11
645,1,1,10.0335217,16.6730003,0.286,-1.006,11
645,2,1,9.1190166,17.2762222,0.286,-1.006,11
646,1,1,5.6080236,19.7730007,-0.1,2.231,11
646,2,1,5.1401939,19.5813904,-0.1,2.231,11
647,1,1,17.6782875,14.6230001,0.173,-0.556,11
647,2,1,17.2286873,14.6824732,0.173,-0.556,11
648,1,1,10.038105,18.8649998,0.087,-1.58,11
648,2,1,9.1667395,18.9809074,0.087,-1.58,11
649,1,1,12.0349731,16.9389992,0.106,-1.041,11
649,2,1,11.0971375,17.1437607,0.106,-1.041,11
650,1,1,5.796031,24.0650005,0.266,-5.662,11
650,2,1,5.5090618,22.0481129,0.266,-5.662,11
651,1,1,14.1232719,17.809,0.231,-2.638,11
651,2,1,13.5162668,17.0588074,0.231,-2.638,11
652,1,1,7.267724,23.0230007,0.2,0.338,11
652,2,1,6.7544599,21.7948685,0.2,0.338,11
653,1,1,11.3437271,18.3120003,0.075,-0.422,11
653,2,1,10.3618898,18.2351952,0.075,-0.422,11
654,1,1,4.5975957,29.3260002,0.034,-4.434,11
654,2,1,4.4162283,29.8137245,0.034,-4.434,11
655,1,1,20.8081856,13.5509996,0.09,0.758,11
655,2,1,20.475378,13.8128328,0.09,0.758,11
656,1,1,8.5731392,15.4870005,0.156,-2.602,11
656,2,1,7.7333808,16.424469,0.156,-2.602,11
657,1,1,13.0058107,16.8290005,0.044,0.573,11
657,2,1,12.1684275,16.7695179,0.044,0.573,11
658,1,1,6.8461294,17.0060005,0.075,-2.874,11
658,2,1,6.243381,17.3127193,0.075,-2.874,11
659,1,1,16.1122589,18.3220005,0.129,-1.366,11
659,2,1,15.7320976,17.1230183,0.129,-1.366,11
660,1,1,8.6901064,19.1049995,0.066,-0.925,11
660,2,1,7.9306083,19.0831699,0.066,-0.925,11
661,1,1,10.3343773,16.5799999,0.188,-1.571,11
661,2,1,9.3072443,17.3523273,0.188,-1.571,11
662,1,1,4.8970642,25.9899998,0.052,-1.095,11
662,2,1,4.6406803,28.0303917,0.052,-1.095,11
663,1,1,17.0760937,15.8839998,0.112,-0.888,11
663,2,1,16.621273,15.5312843,0.112,-0.888,11
664,1,1,9.4372683,17.2740002,0.238,0.457,11
664,2,1,8.4968586,17.7419472,0.238,0.457,11
665,1,1,12.4087086,16.8939991,0.038,-0.829,11
665,2,1,11.4781485,17.0349655,0.038,-0.829,11
666,1,1,6.3885012,20.802,0.143,-2.496,11
666,2,1,5.8920569,20.1110764,0.143,-2.496,11
667,1,1,14.5213957,15.2580004,0.174,-0.003,11
667,2,1,13.6860809,15.5719156,0.174,-0.003,11
668,1,1,7.7308512,16.8700008,0.077,-1.14,11
668,2,1,6.9337678,17.640604,0.077,-1.14,11
669,1,1,11.1527939,18.2970009,0.138,0.256,11
669,2,1,10.181284,18.2660351,0.138,0.256,11
670,1,1,4.2253909,18.9230003,-0.169,2.822,11
670,2,1,3.8921833,18.7080135,-0.169,2.822,11
671,1,1,19.38908,17.3649998,0.201,-1.455,11
671,2,1,19.1305866,16.3139286,0.201,-1.455,11
672,1,1,9.139327,18.1149998,0.085,-2.189,11
672,2,1,8.3089371,18.1897945,0.085,-2.189,11
673,1,1,13.2804298,15.3970003,0.119,-1.443,11
673,2,1,12.3710575,15.8435154,0.119,-1.443,11
674,1,1,7.0914273,27.1779995,-0.211,-1.05,11
674,2,1,6.7415628,28.4525719,-0.211,-1.05,11
675,1,1,14.8264961,15.5539999,0.227,0.683,11
675,2,1,14.1051702,15.6263599,0.227,0.683,11
676,1,1,8.1906052,19.6429996,-0.078,-1.043,11
676,2,1,7.4795918,19.4565048,-0.078,-1.043,11
677,1,1,10.3851185,16.0890007,0.138,0.557,11
677,2,1,9.3400955,16.95961,0.138,0.557,11
678,1,1,5.4225287,25.8470001,0.073,-2.425,11
678,2,1,5.1661978,27.8101635,0.073,-2.425,11
679,1,1,18.4074097,14.9359999,0.207,-0.483,11
679,2,1,18.0168839,14.8000345,0.207,-0.483,11
680,1,1,9.6880674,19.5860004,0.176,0.288,11
680,2,1,8.845253,19.5414047,0.176,0.288,11
681,1,1,11.5679941,21.8330002,0.221,-0.484,11
681,2,1,10.8225079,20.7589493,0.221,-0.484,11
682,1,1,5.8458505,24.0429993,0.191,-2.8,11
682,2,1,5.5133739,22.0253067,0.191,-2.8,11
683,1,1,13.9180832,15.6400003,-0.023,0.444,11
683,2,1,13.1243649,15.8351402,-0.023,0.444,11
684,1,1,7.1357694,22.1030006,0.33,5.878,11
684,2,1,6.77598,20.5391083,0.33,5.878,11
685,1,1,11.6623278,17.2199993,-0.01,-1.826,11
685,2,1,10.7448111,17.3013477,-0.01,-1.826,11
686,1,1,5.6045074,20.3139992,0.025,-6.226,11
686,2,1,5.282196,19.3919849,0.025,-6.226,11
687,1,1,23.2937012,14.8389997,0.169,-1.181,11
687,2,1,23.0649738,14.5292978,0.169,-1.181,11
688,1,1,8.7450666,15.5089998,0.06,-4.349,11
688,2,1,7.9726892,16.267662,0.06,-4.349,11
689,1,1,12.686491,14.1599998,0.156,-1.296,11
689,2,1,11.5769129,15.2997389,0.156,-1.296,11
690,1,1,6.5624356,26.2169991,-0.026,4.528,11
690,2,1,6.2586741,27.8525105,-0.026,4.528,11
691,1,1,15.6138487,16.4290009,0.197,0.291,11
691,2,1,15.0813446,16.0866833,0.197,0.291,11
692,1,1,8.1929398,19.5030003,0.139,-5.341,11
692,2,1,7.6608543,19.0606956,0.139,-5.341,11
693,1,1,10.7011528,14.7309999,0.125,1.876,11
693,2,1,9.5588894,16.0406818,0.125,1.876,11
694,1,1,4.9933081,16.9319992,0.338,-6.261,11
694,2,1,4.6532478,17.1003418,0.338,-6.261,11
695,1,1,16.7307491,14.6610003,0.152,0.36,11
695,2,1,16.1690845,14.7941742,0.152,0.36,11
696,1,1,9.5640678,14.3520002,0.04,-0.879,11
696,2,1,8.4479008,15.9553814,0.04,-0.879,11
697,1,1,12.4405603,15.448,0.164,1.21,11
697,2,1,11.4184666,16.0203552,0.164,1.21,11
698,1,1,6.0645585,25.0720005,0.095,-0.348,11
698,2,1,5.7303615,22.8615646,0.095,-0.348,11
699,1,1,14.3300877,17.4689999,0.143,-1.035,11
699,2,1,13.6486254,16.9479294,0.143,-1.035,11
700,1,1,7.544909,20.4150009,0.249,-0.027,11
700,2,1,6.9176507,20.0990009,0.249,-0.027,11
701,1,1,10.6304741,17.4529991,0.307,3.115,11
701,2,1,9.7202415,17.7180119,0.307,3.115,11
702,1,1,4.2865491,23.7679996,0.017,-2.294,11
702,2,1,4.0170641,21.9744816,0.017,-2.294,11
703,1,1,18.6951199,14.3950005,0.149,-0.342,11
703,2,1,18.2617645,14.4502439,0.149,-0.342,11
704,1,1,9.2126055,21.8299999,0.157,-0.491,11
704,2,1,8.5470142,20.8101215,0.157,-0.491,11
705,1,1,13.160552,19.9529991,0.234,0.176,11
705,2,1,12.5337048,19.0446606,0.234,0.176,11
706,1,1,6.8364024,23.0760002,0.114,0.503,11
706,2,1,6.3485222,21.8096275,0.114,0.503,11
707,1,1,15.3712578,11.7290001,0.151,-0.832,11
707,2,1,14.5934248,10.7323122,0.151,-0.832,11
708,1,1,8.1571302,18.7549992,0.254,-1.439,11
708,2,1,7.4278722,18.6435566,0.254,-1.439,11
709,1,1,10.1926365,22.8059998,0.245,-1.341,11
709,2,1,9.5007792,21.4792786,0.245,-1.341,11
710,1,1,5.6970034,26.9120007,-0.099,-1.485,11
710,2,1,5.4240088,28.2473125,-0.099,-1.485,11
711,1,1,17.6204891,15.1169996,0.13,1.928,11
711,2,1,17.208744,14.9236822,0.13,1.928,11
712,1,1,9.9432411,16.4880009,0.133,-0.078,11
712,2,1,8.9045067,17.3475094,0.133,-0.078,11
713,1,1,12.0253229,16.7409992,0.048,-2.502,11
713,2,1,11.06915,17.0158958,0.048,-2.502,11
714,1,1,6.0089502,21.8829994,0.139,-2.105,11
714,2,1,5.5707312,20.8606758,0.139,-2.105,11
715,1,1,14.0858498,15.3950005,0.033,-1.334,11
715,2,1,13.3448496,15.4669905,0.033,-1.334,11
716,1,1,7.4266591,22.0340004,0.16,-1.108,11
716,2,1,6.8782878,21.0056095,0.16,-1.108,11
717,1,1,11.2072449,14.7209997,0.182,2.492,11
717,2,1,10.1379747,15.8962669,0.182,2.492,11
718,1,1,4.7961159,26.4029999,-0.164,-5.101,11
718,2,1,4.5932016,27.9859791,-0.164,-5.101,11
719,1,1,21.6752987,13.9169998,0.183,1.648,11
719,2,1,21.3941917,13.9897394,0.183,1.648,11
720,1,1,8.7367973,21.0639992,0.04,-1.006,11
720,2,1,8.0488167,20.4276352,0.04,-1.006,11
721,1,1,12.7065506,16.3320007,0.223,0.052,11
721,2,1,11.7146015,16.7364693,0.223,0.052,11
722,1,1,6.6708069,23.3530006,0.143,-1.187,11
722,2,1,6.3279185,21.4637489,0.143,-1.187,11
723,1,1,16.2170639,14.8310003,0.115,-1.488,11
723,2,1,15.66506,14.8544531,0.115,-1.488,11
724,1,1,8.4085197,17.0499992,0.139,-2.082,11
724,2,1,7.625236,17.4340515,0.139,-2.082,11
725,1,1,10.5417948,16.3850002,0.204,2.35,11
725,2,1,9.5693226,17.0259438,0.204,2.35,11
726,1,1,4.9570556,24.7439995,0.376,-1.866,11
726,2,1,4.6731448,22.6384125,0.376,-1.866,11
727,1,1,17.2963295,16.5970001,0.12,0.655,11
727,2,1,16.8837204,15.9182177,0.12,0.655,11
728,1,1,9.3668375,19.1340008,0.283,0.591,11
728,2,1,8.5146065,19.328701,0.283,0.591,11
729,1,1,12.578207,19.2770004,0.227,0.578,11
729,2,1,11.8024254,18.7175064,0.227,0.578,11
730,1,1,6.2717056,23.2080002,0.055,-1.052,11
730,2,1,5.8793688,21.5925674,0.055,-1.052,11
731,1,1,14.7074776,16.3999996,0.169,-0.285,11
731,2,1,14.0027676,16.2093964,0.169,-0.285,11
732,1,1,7.7502279,22.9880009,-0.152,-2.226,11
732,2,1,7.2619581,21.5266819,-0.152,-2.226,11
733,1,1,11.0502787,15.4820004,0.248,-1.114,11
733,2,1,9.9374199,16.4478397,0.248,-1.114,11
734,1,1,4.100801,30.2779999,0.222,-3.516,11
734,2,1,3.9536448,30.0426846,0.222,-3.516,11
735,1,1,20.0798817,14.3669996,0.158,0.076,11
735,2,1,19.7638226,14.3477345,0.158,0.076,11
736,1,1,8.9781427,16.9360008,0.093,-0.243,11
736,2,1,8.0468855,17.6149139,0.093,-0.243,11
737,1,1,13.4431076,17.8859997,0.245,0.192,11
737,2,1,12.6967802,17.3880196,0.245,0.192,11
738,1,1,7.0788746,19.3869991,0.07,-1.672,11
738,2,1,6.4437065,19.3902912,0.07,-1.672,11
739,1,1,14.9806938,16.2970009,0.189,-0.37,11
739,2,1,14.3457146,16.0836391,0.189,-0.37,11
740,1,1,7.9375644,24.8379993,0.164,-1.501,11
740,2,1,7.4791579,22.7192974,0.164,-1.501,11
741,1,1,10.2702074,17.6060009,0.126,-1.728,11
741,2,1,9.3673429,17.8471947,0.126,-1.728,11
742,1,1,5.2291613,16.1609993,0.248,-3.797,11
742,2,1,4.7459149,16.9665432,0.248,-3.797,11
743,1,1,18.0650883,15.9619999,0.254,-1.227,11
743,2,1,17.7077198,15.5156164,0.254,-1.227,11
744,1,1,9.6880989,18.2870007,0.224,0.985,11
744,2,1,8.850749,18.2901897,0.224,0.985,11
745,1,1,11.6977539,19.2380009,0.001,-1.744,11
745,2,1,10.8285103,19.0901604,0.001,-1.744,11
746,1,1,5.7190361,26.9860001,0.21,1.259,11
746,2,1,5.4340248,28.6353683,0.21,1.259,11
747,1,1,13.9873714,17.1149998,0.131,-0.59,11
747,2,1,13.2970085,16.6585712,0.131,-0.59,11
748,1,1,7.2739124,16.8889999,0.05,-4.686,11
748,2,1,6.6719685,17.2308044,0.05,-4.686,11
749,1,1,11.6046133,16.9860001,0.163,-1.779,11
749,2,1,10.6830225,17.120491,0.163,-1.779,11
750,1,1,4.6063862,19.0860004,0.146,0.439,11
750,2,1,4.2027507,19.2762051,0.146,0.439,11
751,1,1,22.6832047,13.9119997,0.129,-0.876,11
751,2,1,22.4213314,13.954072,0.129,-0.876,11
752,1,1,8.7816467,19.3369999,0.221,2.084,11
752,2,1,8.0455551,19.3688164,0.221,2.084,11
753,1,1,12.6404953,18.2999992,0.19,0.868,11
753,2,1,11.7877426,17.9344082,0.19,0.868,11
754,1,1,6.7414422,18.8430004,-0.045,2.221,11
754,2,1,6.1522512,18.9024563,-0.045,2.221,11
755,1,1,15.7690163,17.7770004,0.245,-0.096,11
755,2,1,15.2886133,16.8475323,0.245,-0.096,11
756,1,1,8.3617887,22.9080009,0.072,0.235,11
756,2,1,7.8590541,21.3449001,0.072,0.235,11
757,1,1,10.606493,18.4890003,0.266,-1.278,11
757,2,1,9.6881695,18.4343033,0.266,-1.278,11
758,1,1,5.1003642,22.0450001,0.041,2.258,11
758,2,1,4.7393785,20.9770031,0.041,2.258,11
759,1,1,16.4122353,16.3939991,0.149,-1.892,11
759,2,1,15.934557,15.9248228,0.149,-1.892,11
760,1,1,9.714427,20.1580009,0.025,-0.804,11
760,2,1,8.9231577,19.7403011,0.025,-0.804,11
761,1,1,12.2089148,18.2140007,0.147,-2.217,11
761,2,1,11.3374643,17.9277439,0.147,-2.217,11
762,1,1,6.0562363,23.8269997,0.018,-4.404,11
762,2,1,5.7175918,21.9608421,0.018,-4.404,11
763,1,1,13.9746981,17.9860001,0.236,-0.125,11
763,2,1,13.2541876,17.4196148,0.236,-0.125,11
764,1,1,7.5001073,17.3540001,0.181,-1.608,11
764,2,1,6.752306,17.8574715,0.181,-1.608,11
765,1,1,10.9404068,19.3889999,0.034,-0.741,11
765,2,1,10.0507107,19.2263145,0.034,-0.741,11
766,1,1,5.4889612,20.1149998,-0.238,-4.955,11
766,2,1,5.1344104,19.2925243,-0.238,-4.955,11
767,1,1,19.3082676,15.8360004,0.119,0.499,11
767,2,1,18.9936657,15.2827616,0.119,0.499,11
768,1,1,9.2095661,15.7410002,0.125,2.321,11
768,2,1,8.2711411,16.6362038,0.125,2.321,11
769,1,1,13.2278442,16.1590004,0.181,-0.04,11
769,2,1,12.3172045,16.4837952,0.181,-0.04,11
770,1,1,6.9764757,22.0160007,-0.041,-2.431,11
770,2,1,6.4994926,20.7741413,-0.041,-2.431,11
771,1,1,15.1979361,16.7399998,0.113,-2.07,11
771,2,1,14.6665592,16.235239,0.113,-2.07,11
772,1,1,7.8675871,19.882,0.135,-0.865,11
772,2,1,7.1642489,19.9057846,0.135,-0.865,11
773,1,1,10.1831942,17.7970009,0.148,1.966,11
